order_item_id,order_id,product_id,quantity
1,1014,103,2
2,1295,119,1
3,1138,119,1
4,1090,116,5
5,1227,130,3
6,1093,119,4
7,1252,103,4
8,1179,114,3
9,1165,122,1
10,1083,111,4
11,1254,110,4
12,1282,102,4
13,1046,111,3
14,1166,104,4
15,1264,127,1
16,1278,115,4
17,1028,107,5
18,1186,120,4
19,1227,125,1
20,1105,109,5
21,1068,130,3
22,1225,129,4
23,1063,101,5
24,1123,123,2
25,1160,118,1
26,1283,114,1
27,1116,127,1
28,1237,104,2
29,1256,130,3
30,1261,123,3
31,1213,127,4
32,1242,108,4
33,1283,105,4
34,1098,130,5
35,1261,124,2
36,1036,109,4
37,1175,130,5
38,1137,127,1
39,1145,124,3
40,1297,122,4
41,1077,115,5
42,1248,112,3
43,1283,125,5
44,1194,115,3
45,1097,123,2
46,1293,113,2
47,1211,102,3
48,1243,123,4
49,1198,122,2
50,1254,102,2
51,1258,119,3
52,1052,128,4
53,1052,117,4
54,1008,124,2
55,1210,128,2
56,1039,116,3
57,1174,120,4
58,1042,128,3
59,1274,113,3
60,1250,128,5
61,1019,120,1
62,1121,121,3
63,1117,124,1
64,1223,104,1
65,1228,106,3
66,1015,102,3
67,1029,110,3
68,1192,114,2
69,1126,117,4
70,1290,122,2
71,1088,106,1
72,1196,120,2
73,1255,130,5
74,1074,108,4
75,1131,115,3
76,1005,129,4
77,1148,122,5
78,1081,103,4
79,1177,119,3
80,1218,123,3
81,1234,128,3
82,1102,113,4
83,1055,108,4
84,1293,112,5
85,1152,123,3
86,1012,127,4
87,1141,101,5
88,1026,130,5
89,1255,127,3
90,1118,120,3
91,1113,121,2
92,1129,122,2
93,1050,129,1
94,1159,126,4
95,1018,119,3
96,1068,103,3
97,1168,124,4
98,1090,107,2
99,1277,129,3
100,1272,117,3
101,1085,109,4
102,1152,124,3
103,1059,115,1
104,1073,125,2
105,1204,128,5
106,1188,103,4
107,1008,109,5
108,1064,115,3
109,1135,119,4
110,1191,104,2
111,1242,101,5
112,1288,111,5
113,1114,121,1
114,1238,130,3
115,1210,104,2
116,1024,102,3
117,1253,104,1
118,1121,129,5
119,1070,113,4
120,1190,122,5
121,1215,119,2
122,1213,121,1
123,1251,120,4
124,1144,102,3
125,1112,115,4
126,1121,128,3
127,1051,122,3
128,1279,129,3
129,1032,113,3
130,1098,104,4
131,1047,122,2
132,1011,102,3
133,1125,105,5
134,1106,103,5
135,1107,119,2
136,1120,111,2
137,1002,109,2
138,1067,118,3
139,1090,104,1
140,1068,101,3
141,1122,119,3
142,1009,106,3
143,1027,105,4
144,1270,104,1
145,1244,115,3
146,1263,119,1
147,1232,117,2
148,1023,124,5
149,1155,115,1
150,1032,116,4
151,1219,122,1
152,1252,123,4
153,1038,129,1
154,1165,120,2
155,1034,105,3
156,1300,118,3
157,1196,120,5
158,1151,115,5
159,1221,104,1
160,1283,124,2
161,1221,115,2
162,1212,111,4
163,1205,114,1
164,1161,114,3
165,1131,112,2
166,1243,103,1
167,1044,103,4
168,1050,124,3
169,1067,118,1
170,1288,118,3
171,1063,114,3
172,1217,128,1
173,1148,120,3
174,1181,104,5
175,1260,107,2
176,1247,108,1
177,1180,128,5
178,1189,104,3
179,1294,108,4
180,1288,125,5
181,1286,101,5
182,1137,101,2
183,1140,123,3
184,1174,112,1
185,1093,128,2
186,1290,122,4
187,1036,105,1
188,1047,124,5
189,1111,113,4
190,1233,111,2
191,1190,110,3
192,1291,120,1
193,1027,105,2
194,1026,122,1
195,1140,115,4
196,1249,120,4
197,1213,109,2
198,1263,104,3
199,1221,104,3
200,1250,117,3
201,1024,108,4
202,1029,101,2
203,1155,107,2
204,1131,110,3
205,1062,101,4
206,1221,106,2
207,1195,118,2
208,1257,118,3
209,1037,113,1
210,1224,101,4
211,1040,128,3
212,1295,114,5
213,1208,123,4
214,1149,104,4
215,1011,111,2
216,1236,127,3
217,1046,114,1
218,1125,114,5
219,1206,117,1
220,1203,128,3
221,1174,108,3
222,1087,103,5
223,1059,117,5
224,1100,129,3
225,1180,124,2
226,1121,104,2
227,1132,107,2
228,1079,125,1
229,1091,125,4
230,1238,125,5
231,1297,115,5
232,1166,128,3
233,1078,115,1
234,1241,115,3
235,1141,119,1
236,1181,117,1
237,1159,115,4
238,1020,102,3
239,1147,103,1
240,1260,113,4
241,1298,118,1
242,1231,130,5
243,1097,111,5
244,1244,117,2
245,1032,115,1
246,1176,123,1
247,1259,121,2
248,1021,108,4
249,1225,117,5
250,1082,112,3
251,1145,113,4
252,1174,122,5
253,1027,126,3
254,1034,111,1
255,1286,122,4
256,1146,109,5
257,1077,111,1
258,1299,122,2
259,1180,110,4
260,1067,120,1
261,1159,118,4
262,1169,127,2
263,1270,103,4
264,1261,112,1
265,1186,110,2
266,1110,111,4
267,1099,108,2
268,1080,103,3
269,1052,117,5
270,1270,102,3
271,1068,120,4
272,1079,106,2
273,1085,124,4
274,1023,114,3
275,1122,115,5
276,1146,125,4
277,1120,118,2
278,1159,126,4
279,1100,112,5
280,1226,115,3
281,1196,117,5
282,1215,106,2
283,1071,128,3
284,1027,121,4
285,1191,118,1
286,1265,128,1
287,1146,103,2
288,1140,115,5
289,1076,127,4
290,1047,130,2
291,1231,129,3
292,1014,114,1
293,1203,117,3
294,1121,113,1
295,1192,108,1
296,1164,130,1
297,1172,126,2
298,1071,102,3
299,1242,123,2
300,1241,115,5
301,1003,129,1
302,1010,109,2
303,1077,118,5
304,1271,114,1
305,1148,108,3
306,1063,102,2
307,1215,121,5
